workerid,proliferate.condition,accuracy,coding,failed_audio,failed_images,failed_video,internal_node_id,question_order,response,result,rt,slider_start,stimulus,success,time_elapsed,timeout,trial_index,trial_type,error
507,main,[],,,,,0.0-11.0,,"{'age': '35', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'none, but thank you and good luck with your research', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,45886,,,,216219,,32,survey,
492,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,35463,,,,288701,,32,survey,
526,main,[],,,,,0.0-11.0,,"{'age': '21', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'no', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,86204,,,,329344,,32,survey,
551,main,[],,,,,0.0-11.0,,"{'age': '31', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Some college', 'question1': None}",,37446,,,,228434,,32,survey,
482,main,[],,,,,0.0-11.0,,"{'age': '38', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'No.', 'language': 'English', 'education': 'Some college', 'question1': None}",,59972,,,,292986,,32,survey,
523,main,[],,,,,0.0-11.0,,"{'age': '20', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was too low', 'comments': 'no', 'language': 'English', 'education': 'Graduated high school', 'question1': None}",,55127,,,,177649,,32,survey,
540,main,[],,,,,0.0-11.0,,"{'age': '37', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,26388,,,,155499,,32,survey,
505,main,[],,,,,0.0-11.0,,"{'age': '48', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,39868,,,,277390,,32,survey,
449,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,32149,,,,185443,,32,survey,
500,main,[],,,,,0.0-11.0,,"{'age': '34', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'no', 'language': 'English', 'education': 'Some college', 'question1': None}",,47034,,,,230720,,32,survey,
545,main,[],,,,,0.0-11.0,,"{'age': '49', 'enjoy': 'Better than the average experiment', 'gender': 'Non-binary/Non-conforming', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,67221,,,,226202,,32,survey,
530,main,[],,,,,0.0-11.0,,"{'age': '43', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'I enjoyed the audio evaluation portion and would not have minded if that section was longer or more involved.', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,81764,,,,315012,,32,survey,
472,main,[],,,,,0.0-11.0,,"{'age': '27', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,29238,,,,243703,,32,survey,
443,main,[],,,,,0.0-11.0,,"{'age': '42', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,25174,,,,228045,,32,survey,
554,main,[],,,,,0.0-11.0,,"{'age': '34', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,61659,,,,370267,,32,survey,
552,main,[],,,,,0.0-11.0,,"{'age': '42', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,33871,,,,234918,,32,survey,
441,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'N/A', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,69724,,,,247591,,32,survey,
456,main,[],,,,,0.0-11.0,,"{'age': '49', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,51550,,,,322020,,32,survey,
510,main,[],,,,,0.0-11.0,,"{'age': '19', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,26633,,,,197705,,32,survey,
436,main,[],,,,,0.0-11.0,,"{'age': '54', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': '', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,41740,,,,215885,,32,survey,
533,main,[],,,,,0.0-11.0,,"{'age': '26', 'enjoy': 'Better than the average experiment', 'gender': '', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,91478,,,,308574,,32,survey,
450,main,[],,,,,0.0-11.0,,"{'age': '50', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'none', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,51409,,,,263665,,32,survey,
483,main,[],,,,,0.0-11.0,,"{'age': '24', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated high school', 'question1': None}",,35219,,,,158366,,32,survey,
542,main,[],,,,,0.0-11.0,,"{'age': '42', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,37287,,,,191923,,32,survey,
455,main,[],,,,,0.0-11.0,,"{'age': '28', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated high school', 'question1': None}",,33346,,,,326178,,32,survey,
457,main,[],,,,,0.0-11.0,,"{'age': '53', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'Have a wonderful day!!', 'language': 'English', 'education': 'Graduated high school', 'question1': None}",,91759,,,,381926,,32,survey,
499,main,[],,,,,0.0-11.0,,"{'age': '30', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,62063,,,,230311,,32,survey,
527,main,[],,,,,0.0-11.0,,"{'age': '38', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'thanks', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,26433,,,,138977,,32,survey,
535,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English ', 'education': 'Some college', 'question1': None}",,51212,,,,216008,,32,survey,
442,main,[],,,,,0.0-11.0,,"{'age': '26', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated high school', 'question1': None}",,35758,,,,177212,,32,survey,
444,main,[],,,,,0.0-11.0,,"{'age': '20', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Some college', 'question1': None}",,29828,,,,184585,,32,survey,
473,main,[],,,,,0.0-11.0,,"{'age': '33', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'no comment', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,228599,,,,561359,,32,survey,
546,main,[],,,,,0.0-11.0,,"{'age': '21', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,63537,,,,365271,,32,survey,
515,main,[],,,,,0.0-11.0,,"{'age': '37', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'None', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,29641,,,,178262,,32,survey,
516,main,[],,,,,0.0-11.0,,"{'age': '24', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'Nope.', 'language': 'English', 'education': 'Some college', 'question1': None}",,35906,,,,171599,,32,survey,
517,main,[],,,,,0.0-11.0,,"{'age': '38', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Some college', 'question1': None}",,26477,,,,185189,,32,survey,
488,main,[],,,,,0.0-11.0,,"{'age': '23', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'I loved how engaging the experiment was. I did not get bored. Thus, it went by quickly.', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,53181,,,,251838,,32,survey,
511,main,[],,,,,0.0-11.0,,"{'age': '40', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'This was was an interesting survey to go through. ', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,110583,,,,357050,,32,survey,
487,main,[],,,,,0.0-11.0,,"{'age': '66', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,34815,,,,828701,,32,survey,
460,main,[],,,,,0.0-11.0,,"{'age': '43', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Hold a higher degree', 'question1': None}",,25334,,,,117140,,32,survey,
491,main,[],,,,,0.0-11.0,,"{'age': '25', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,31255,,,,187187,,32,survey,
453,main,[],,,,,0.0-11.0,,"{'age': '19', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,51892,,,,266316,,32,survey,
541,main,[],,,,,0.0-11.0,,"{'age': '52', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,38579,,,,239157,,32,survey,
480,main,[],,,,,0.0-11.0,,"{'age': '19', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was too low', 'comments': '', 'language': 'English', 'education': 'Graduated high school', 'question1': None}",,32226,,,,185741,,32,survey,
437,main,[],,,,,0.0-11.0,,"{'age': '43', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,24505,,,,158503,,32,survey,
520,main,[],,,,,0.0-11.0,,"{'age': '37', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,31016,,,,225265,,32,survey,
434,main,[],,,,,0.0-11.0,,"{'age': '26', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,23452,,,,146698,,32,survey,
532,main,[],,,,,0.0-11.0,,"{'age': '21', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,27723,,,,188137,,32,survey,
494,main,[],,,,,0.0-11.0,,"{'age': '33', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated high school', 'question1': None}",,26719,,,,90135,,32,survey,
471,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,41085,,,,202102,,32,survey,
485,main,[],,,,,0.0-11.0,,"{'age': '43', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,33087,,,,186125,,32,survey,
522,main,[],,,,,0.0-11.0,,"{'age': '48', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'no', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,61362,,,,310878,,32,survey,
479,main,[],,,,,0.0-11.0,,"{'age': '31', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was too low', 'comments': '', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,59997,,,,281092,,32,survey,
431,main,[],,,,,0.0-11.0,,"{'age': '21', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated high school', 'question1': None}",,49488,,,,535923,,32,survey,
512,main,[],,,,,0.0-11.0,,"{'age': '40', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'No', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,28921,,,,508509,,32,survey,
435,main,[],,,,,0.0-11.0,,"{'age': '33', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'none, very straightforward', 'language': 'english', 'education': 'Some college', 'question1': None}",,88369,,,,264606,,32,survey,
508,main,[],,,,,0.0-11.0,,"{'age': '39', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,33209,,,,188679,,32,survey,
544,main,[],,,,,0.0-11.0,,"{'age': '43', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,34639,,,,277806,,32,survey,
529,main,[],,,,,0.0-11.0,,"{'age': '24', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,37236,,,,190060,,32,survey,
432,main,[],,,,,0.0-11.0,,"{'age': '49', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated high school', 'question1': None}",,64237,,,,280282,,32,survey,
